address,weight,idz,transaction
tz1L4T5YjZapHTvrvSbRuR1THr874AEMWscY,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1fJaKx5EfqGUsB6VkkPqt2bQCwcMSoJWq8,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1iiNv9ppVnyY5vfWSp92o3aR6UTYnxuQmw,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1SQeCn9ZD4qv7JfrW56hiRBPfgK8ixBNmd,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1issDocXMgYqWcGQP58KRVuYrWcLH2TeNE,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1b2XiMAX7cozzqHB7XTRUREsWc6a5Lnxuq,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1cgMUhiPmPnKeXpeqKCDAEt4NzvnSR8VWV,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1SehzQwBkGAVRGaznyL8TJUq6VzqkrNWVY,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1YdNXFJhmFF1SkzoFFeNsvbpJB89Gdywqe,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gJZrp2hmD9XmURjTQ7jucBBVVheBzDXNE,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1ayFVdZkmW29KZcv8bVSUbrjzWUKBCmKnU,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1XpWF5waWjSESGhr8aUJKXMci1S8hTX7Uj,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1WjCTT9FzgHhUqAL6iavyXG1czNdHi1BXu,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
